_id,State/UT Name,PC NO,PC NAME,TOTAL ELECTORS IN PC,AC NO,AC NAME,TOTAL ELECTORS IN AC,TOTAL VALID VOTES IN STATE,NOTA VOTES EVM IN AC,CANDIDATE NAME,PARTY,VOTES SECURED EVM
3605,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,KAMPA BORGOYARI,BOPF,20330
3606,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,GARJAN MASHAHARY,INC,20021
3607,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,JOYANTA BASUMATARY,UPPL,35173
3608,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,GAURI SANKAR SARANIA,AITC,6387
3609,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,BINITA DEKA,GNASURKP,3562
3610,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,LALIT PEGU,VPI,869
3611,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,AJOY NARZARY,IND,252
3612,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,JYOTISH KUMAR DAS,IND,434
3613,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,TRIPTINA RABHA,IND,359
3614,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,PANKAJ ISLARY,IND,399
3615,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,PRITHVIRAJ NARAYAN DEV MECH,IND,2403
3616,Assam,1,Kokrajhar,1494404,1,Gossaigaon,114508,19819569,830,RANJAY KR BRAHMA,IND,550
3617,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,KAMPA BORGOYARI,BOPF,31933
3618,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,GARJAN MASHAHARY,INC,6137
3619,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,JOYANTA BASUMATARY,UPPL,36490
3620,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,GAURI SANKAR SARANIA,AITC,2431
3621,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,BINITA DEKA,GNASURKP,5255
3622,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,LALIT PEGU,VPI,689
3623,Assam,1,Kokrajhar,1494404,2,Dotma,106464,19819569,924,AJOY NARZARY,IND,244
