entity_id,state,district,constituency_number,constituency,constituency_wiki_url,alliance,party,party_wiki_url,candidate_name,candidate_wiki_url,has_wiki_page,remarks,reservation,infobox_json
KL-001-LDF,Kerala,Kasaragod,1,Manjeshwaram,https://en.wikipedia.org/wiki/Manjeshwaram_Assembly_constituency,LDF,CPI(M),https://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),K. R. Jayanandan,,False,,,
KL-001-UDF,Kerala,Kasaragod,1,Manjeshwaram,https://en.wikipedia.org/wiki/Manjeshwaram_Assembly_constituency,UDF,IUML,https://en.wikipedia.org/wiki/Indian_Union_Muslim_League,A. K. M. Ashraf,https://en.wikipedia.org/wiki/A._K._M._Ashraf,True,,,
KL-001-NDA,Kerala,Kasaragod,1,Manjeshwaram,https://en.wikipedia.org/wiki/Manjeshwaram_Assembly_constituency,NDA,BJP,https://en.wikipedia.org/wiki/Bharatiya_Janata_Party,K. Surendran,https://en.wikipedia.org/wiki/K._Surendran_(politician),True,,,
KL-002-LDF,Kerala,Kasaragod,2,Kasaragod,https://en.wikipedia.org/wiki/Kasaragod_Assembly_constituency,LDF,IND,https://en.wikipedia.org/wiki/Independent_politician,Shanavas Padhoor,,False,,,
KL-002-UDF,Kerala,Kasaragod,2,Kasaragod,https://en.wikipedia.org/wiki/Kasaragod_Assembly_constituency,UDF,IUML,https://en.wikipedia.org/wiki/Indian_Union_Muslim_League,Kallatra Mahin Haji,,False,,,
KL-002-NDA,Kerala,Kasaragod,2,Kasaragod,https://en.wikipedia.org/wiki/Kasaragod_Assembly_constituency,NDA,BJP,https://en.wikipedia.org/wiki/Bharatiya_Janata_Party,M. L. Ashwini,,False,,,
KL-003-LDF,Kerala,Kasaragod,3,Udma,https://en.wikipedia.org/wiki/Udma_Assembly_constituency,LDF,CPI(M),https://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),C. H. Kunhambu,https://en.wikipedia.org/wiki/C._H._Kunhambu,True,,,
KL-003-UDF,Kerala,Kasaragod,3,Udma,https://en.wikipedia.org/wiki/Udma_Assembly_constituency,UDF,INC,https://en.wikipedia.org/wiki/Indian_National_Congress,K. Neelakandan,,False,,,
KL-003-NDA,Kerala,Kasaragod,3,Udma,https://en.wikipedia.org/wiki/Udma_Assembly_constituency,NDA,BJP,https://en.wikipedia.org/wiki/Bharatiya_Janata_Party,Manulal Meloth,,False,,,
KL-004-LDF,Kerala,Kasaragod,4,Kanhangad,https://en.wikipedia.org/wiki/Kanhangad_Assembly_constituency,LDF,CPI,https://en.wikipedia.org/wiki/Communist_Party_of_India,Govindan Pallikkappil,,False,,,
KL-004-UDF,Kerala,Kasaragod,4,Kanhangad,https://en.wikipedia.org/wiki/Kanhangad_Assembly_constituency,UDF,KEC,https://en.wikipedia.org/wiki/Kerala_Congress,Shyji Ottapalli,,False,,,
KL-004-NDA,Kerala,Kasaragod,4,Kanhangad,https://en.wikipedia.org/wiki/Kanhangad_Assembly_constituency,NDA,BJP,https://en.wikipedia.org/wiki/Bharatiya_Janata_Party,M. Balraj,,False,,,
KL-005-LDF,Kerala,Kasaragod,5,Thrikaripur,https://en.wikipedia.org/wiki/Thrikaripur_Assembly_constituency,LDF,CPI(M),https://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),V. P. P. Mustafa,,False,,,
KL-005-UDF,Kerala,Kasaragod,5,Thrikaripur,https://en.wikipedia.org/wiki/Thrikaripur_Assembly_constituency,UDF,INC,https://en.wikipedia.org/wiki/Indian_National_Congress,Sandeep Varier,,False,,,
KL-005-NDA,Kerala,Kasaragod,5,Thrikaripur,https://en.wikipedia.org/wiki/Thrikaripur_Assembly_constituency,NDA,TTP,https://en.wikipedia.org/wiki/Twenty20_Party,Ravi Kulangara,,False,,,
KL-006-LDF,Kerala,Kannur,6,Payyanur,https://en.wikipedia.org/wiki/Payyanur_Assembly_constituency,LDF,CPI(M),https://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),T. I. Madhusoodanan,https://en.wikipedia.org/wiki/T._I._Madhusoodanan,True,,,
KL-006-UDF,Kerala,Kannur,6,Payyanur,https://en.wikipedia.org/wiki/Payyanur_Assembly_constituency,UDF,IND,https://en.wikipedia.org/wiki/Independent_politician,V. Kunjikrishnan,,False,,,
